,case fatality rate ,note,average basic reproductive rate ,primary mode of transmission ,survival time on surfaces,"survival in ideal conditions (ie. blood, faeces)",note,pathogen type,infectious dose,viral load in acute stage,,yearly fatalities,,,yearly fatalities,yearly fatalities,yearly fatalities,,,lower R0,upper R0,"survival time on surfaces, room temp (hours)",lower,infectious dose second source,infectious dose third source,note,sources,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/index-eng.php#v,yearly fatalities,http://www.who.int/healthinfo/global_burden_disease/estimates/en/index1.html,http://www.cdc.gov/mmwr/PDF/wk/mm6153.pdf,http://en.wikipedia.org/wiki/Human_mortality_from_H5N1,"individual links given in hidden columns to right, where different",,,infectious dose,,
E.coli,4%,,1.15,fecal-oral,1,2,"infectious dose varies in different strains, can be as low as 10-100 organisms",bacterium,"100,000,000",,,"260,000","256,111","1,497,724 deaths from diarrhea in 2012 (WHO GBD 2014). enteropathogenic + enterotoxigenic E. coli: est. 17.1% of childhood diarrhea deaths, applied to total. (no estimate proportion available for all diarrhea deaths incl. adults). http://www.ncbi.nlm.nih.gov/pubmed/24023773; http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3762858/#!po=34.3750",100,"103,000","103,065","602,717 deaths from diarrhea in 2012 (WHO GBD 2014). enteropathogenic + enterotoxigenic E. coli: est. 17.1% of childhood diarrhea deaths, applied to total. (no estimate proportion available for all diarrhea deaths incl. adults(. http://www.ncbi.nlm.nih.gov/pubmed/24023773; http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3762858/#!po=34.3750",,0.3,2,~,,"50,500,000",,,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/escherichia-coli-eng.php#footnote14,http://aem.asm.org/content/69/7/3687,http://www.who.int/mediacentre/factsheets/fs125/en/,http://www.mssanz.org.au/modsim2011/B2/parshotam.pdf,,,,,http://en.wikipedia.org/wiki/Infectious_dose,,
Ebola,50%,,2.5,body fluids,0.5,14,87 day survival in semen,virus,5,"50,000,000,000",,"4,555","4,555","2014, as of Oct 14, 2014, http://www.cdc.gov/vhf/ebola/outbreaks/2014-west-africa/case-counts.html",1,"4,554","4,554","2014, as of Oct 14, 2014, http://www.cdc.gov/vhf/ebola/outbreaks/2014-west-africa/case-counts.html",,1,4,,,,,,,http://www.who.int/mediacentre/factsheets/fs103/en/,http://www.cdc.gov/vhf/ebola/transmission/qas.html,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/ebola-eng.php,http://en.wikipedia.org/wiki/Basic_reproduction_number,http://www.who.int/mediacentre/factsheets/fs103/en/,http://currents.plos.org/outbreaks/article/estimating-the-reproduction-number-of-zaire-ebolavirus-ebov-during-the-2014-outbreak-in-west-africa/,http://www.nytimes.com/2014/10/14/us/questions-rise-on-preparations-at-hospitals-to-deal-with-ebola.html?_r=0,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CB8QFjAA&url=http%3A%2F%2Fwww.phac-aspc.gc.ca%2Flab-bio%2Fres%2Fpsds-ftss%2Febola-eng.php&ei=KSJEVI_mCqPg7QaIooDgBg&usg=AFQjCNEiBmo7OAsASyqJsRY3QzjgQr2NjA&sig2=JvZD-hqLKkrlbH-lA6i-3A,,
Hepatitis B,0.75%,,4.04,body fluids,0.7,7,,virus,'extraordinarily small',"12,500,000",,"150,000","149,164","acute, 2012","1,800","18,600","18,753","acute, 2012",,1.45,6.62,16,,,,,,http://www.cdc.gov/vaccines/pubs/surv-manual/chpt04-hepb.pdf,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hepatitis-b-eng.php,http://www.ncbi.nlm.nih.gov/pubmed/21040731,http://link.springer.com/article/10.1007%2Fs00477-013-0776-0#page-1,,,http://www.nytimes.com/2014/10/14/us/questions-rise-on-preparations-at-hospitals-to-deal-with-ebola.html?_r=0,,http://infectionnet.org/notes/hepatitis-viruses/,,
HIV (treated),2.10%,,3.5,sexual contact,7,15,,virus,1-65000,"75,000",,"1,500,000","1,533,760","both treated and untreated, 2012","8,400","1,090,000","1,088,252","2012, treated and untreated",,2,5,,7,,,"50% infective dose 1 virion (min) to 65,000",,http://www.aidsmap.com/Wide-variations-between-US-states-in-HIV-mortality-rates/page/2117475/,http://www.aidsmap.com/Survival-outside-the-body/page/1321278/,http://www.bmj.com/rapid-response/2011/11/01/hiv-survival-outside-body,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hiv-vih-eng.php,http://en.wikipedia.org/wiki/Basic_reproduction_number,http://www.academia.edu/1746565/Epidemiologic_Concepts_for_the_Prevention_and_Control_of_Infectious_Diseases,http://www.nytimes.com/2014/10/14/us/questions-rise-on-preparations-at-hospitals-to-deal-with-ebola.html?_r=0,http://www.ncbi.nlm.nih.gov/pubmed/19948896,http://pathmicro.med.sc.edu/lecture/hiv3.htm,,
HIV (untreated),80%,,3.5,sexual contact,7,15,,virus,1-65000,,,"1,500,000","1,533,760","both treated and untreated, 2012","8,400","1,090,000","1,088,252","2012, treated and untreated",,2,5,,7,,,"50% infective dose 1 virion (min) to 65,000",,,http://www.aidsmap.com/Survival-outside-the-body/page/1321278/,http://www.bmj.com/rapid-response/2011/11/01/hiv-survival-outside-body,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hiv-vih-eng.php,http://en.wikipedia.org/wiki/Basic_reproduction_number,http://www.academia.edu/1746565/Epidemiologic_Concepts_for_the_Prevention_and_Control_of_Infectious_Diseases,,,http://www.ncbi.nlm.nih.gov/pubmed/19948896,,
Influenza Pandemic 1918,2.50%,,3,airborne droplet,,,,virus,5.6,,,"75,000,000 (1918-19)","75,000,000","est. 50-100m, 1918-19","650,000 (1918-19)",-,-,-,,1.8,2,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CCgQFjAA&url=http%3A%2F%2Fcis.uchicago.edu%2Foutreach%2Fsummerinstitute%2Fepidemics%2Fpresentations%2FWeber.ppt&ei=b5U3VNP_DoTP7gb6joGwDQ&usg=AFQjCNFw3QCdUNXC11CgV8_D__3LyaGt5w&sig2=dfHcL3cMQqk-P8xOJqUTrg,http://wwwnc.cdc.gov/eid/article/12/1/05-0979_article,,,,,,,http://wwwnc.cdc.gov/eid/article/12/11/06-0426_article,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=6&ved=0CE4QFjAF&url=http%3A%2F%2Fwww.mdpi.com%2F1999-4915%2F2%2F8%2F1530%2Fpdf&ei=PvBEVKO5Hcau7Abyy4GADw&usg=AFQjCNGSB-f7wflPOcjC933IbtZwfvUtPA&sig2=rCX6dQtdVhSGXsBFXF-VIQ,
Lyme Disease,0.20%,,4.4,bites,,,,bacterium,50000*,,,-,-,-,10,-,-,-,,3.8,5,,,,,,,http://izt.ciens.ucv.ve/ecologia/Archivos/ECO_POB%202008/ECOPO6_2008/Hartemink%20y%20col%202008.pdf,http://www.cdc.gov/anaplasmosis/stats/,,,,,,,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0101009,,
Malaria (P. falciparum),0.50%,,80,bites,0,~,,parasite,1 to 10,,,"620,000","618,248","unspecified strain, 2012",10,"550,000","553,869","2012, unspecified strain",,,,,,,,infectious dose for unspecified malaria strain,,http://www.malariajournal.com/content/11/1/19,http://www.plosbiology.org/article/info%3Adoi%2F10.1371%2Fjournal.pbio.0050042,http://ocw.jhsph.edu/courses/publichealthbiology/PDFs/Lecture2.pdf,,,,,,http://www.malariasite.com/malaria/Transmission.htm,,
Malaria (P. malariae),0.50%,,16,bites,0,~,,parasite,1 to 10,,,"620,000","618,248","unspecified strain, 2012",10,"550,000","553,869","2012, unspecified strain",,,,,,,,infectious dose for unspecified malaria strain,,http://www.malariajournal.com/content/11/1/19,http://www.plosbiology.org/article/info%3Adoi%2F10.1371%2Fjournal.pbio.0050042,http://ocw.jhsph.edu/courses/publichealthbiology/PDFs/Lecture2.pdf,,,,,,http://www.malariasite.com/malaria/Transmission.htm,,
Measles,0.30%,,15,airborne,0.1,-,,virus,"10,000",,,"130,000","130,461",,2,"48,000","48,235",2012,,12,18,2,,,,,,http://en.wikipedia.org/wiki/Measles,http://www.cdc.gov/measles/about/transmission.html,http://en.wikipedia.org/wiki/Basic_reproduction_number,,,,,,http://www.biomedcentral.com/1741-7015/7/16,,
MERS,45%,,0.5,airborne droplet,2,5,,virus,unknown,,,170,171,"June 2013-June 2014. 209 deaths to 11 June, 2014 minus 38 deaths to 20 June, 2013. http://www.who.int/csr/disease/coronavirus_infections/MERS-CoV_summary_update_20140611.pdf; http://www.who.int/csr/disease/coronavirus_infections/update_20130620/en/",0,2,2,"Oct 2013-OCt 2014, 1 in Algeria http://www.reuters.com/article/2014/06/10/us-health-mers-algeria-idUSKBN0EL1P820140610; 1 in Egypt (suspected) http://www.reuters.com/article/2014/05/05/us-health-mers-egypt-idUSKBN0DL0BQ20140505. 1 death in Tunisia in April 2013 (not counted here) http://www.cidrap.umn.edu/news-perspective/2014/06/report-tunisian-mers-cases-shows-testing-challenges",,,,,,,,,,http://en.wikipedia.org/wiki/List_of_human_disease_case_fatality_rates,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=20590,http://www.sciencedirect.com/science/article/pii/S120197121401491X,,,,,,http://www.ehs.colostate.edu/WOHSP/Illness_Policy_Info_Emergency_Response_Packets/Agent_Fact_Sheets/Middle_East_Respiratory_Syndrome_Virus_Fact_Sheet.pdf,,
MRSA,20%,,1.625,surfaces,7,42,,bacterium,"100,000",,,-,-,-,"11,000",-,-,-,,0.25,3,,38,"100,000",,,,http://www.medicinenet.com/mrsa_infection/page7.htm,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/staphylococcus-aureus-eng.php,http://www.crd.york.ac.uk/crdweb/ShowRecord.asp?ID=22010001059#.VDeZP9R4q5w,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=9&ved=0CFsQFjAI&url=http%3A%2F%2Fwww.phac-aspc.gc.ca%2Flab-bio%2Fres%2Fpsds-ftss%2Fstaphylococcus-aureus-eng.php&ei=KSJEVI_mCqPg7QaIooDgBg&usg=AFQjCNG5JOHXYqZwCmKvVZ8zVdxFT69ROg&sig2=47gsLPgoNtv49wVRWGlUqA,,
Mumps,1%,,12.5,airborne droplet,,,,virus,-,,,-,-,-,1,-,-,-,,11,14,,,,,,,http://ocw.jhsph.edu/courses/publichealthbiology/PDFs/Lecture2.pdf,http://www.health.gov.au/internet/immunise/publishing.nsf/content/handbook10-4-11,,,,,,,,,
Norovirus,0.01%,,2,surfaces,12,28,,virus,18-1000,,,"150,000","148,275","est. for all caliciviruses, 9.9% of deaths from diarrhea among children under 5 http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3762858/#!po=34.3750, applied to 1,497,724 total global deaths from diarrhea, incl. adults (2012, WHO GBD). another estimate: 218,000 child deaths / year. http://www.ghjournal.org/the-epidemiology-of-noroviruses-in-ghana-a-case-study-of-norovirus-detection/",690,"60,000","59,669","602,717 deaths in Africa from diarrhea in 2012 (WHO GBD 2014). 9.9% of child diarrhea deaths from caliciviruses (incl. norovirus). http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3762858/",,,,,,,,,,http://wwwnc.cdc.gov/eid/article/19/8/13-0465_article,http://www.cdc.gov/hicpac/norovirus/tables/evidence-table-q3-ron.html,http://wwwnc.cdc.gov/eid/article/19/8/13-0472-t3,,,,,,http://www.cdc.gov/mmwr/preview/mmwrhtml/rr6003a1.htm,,
Pertussis (Whooping Cough),4%,,14.5,airborne droplet,,,death rate in infants,bacterium,<100,,,"67,000","67,059",,26,"37,000","37,133",2012,,12,17,,,200,,,,http://www.who.int/immunization/monitoring_surveillance/burden/vpd/surveillance_type/passive/pertussis_standards/en/,,http://en.wikipedia.org/wiki/Basic_reproduction_number,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=23&ved=0CMUBEBYwFg&url=http%3A%2F%2Fwww.phac-aspc.gc.ca%2Flab-bio%2Fres%2Fpsds-ftss%2Fbordetella-pertussis-eng.php&ei=KSJEVI_mCqPg7QaIooDgBg&usg=AFQjCNFEMnwoU5HbhHgLtrfXp7JJxY6zfA&sig2=t9soKF3TSHfUWcMOLbNnRQ,http://www.jove.com/visualize/abstract/24227794/resident-microbiota-affect-bordetella-pertussis-infectious-dose-host,http://microbewiki.kenyon.edu/index.php/Haemophilus_pertussis_(Whooping_Cough)#Infectious_dose.2C_incubation.2C_and_colonization
Polio,22%,,6,fecal-oral,,,,virus,3,,,20,21,"416 cases in 2013, http://www.polioeradication.org/dataandmonitoring/poliothisweek.aspx assuming case fatality rate of 5%, rounded to nearest 5",0,15,14,"274 cases in Africa in 2013, http://www.polioeradication.org/dataandmonitoring/poliothisweek.aspx, assuming case fatality rate of 5%, rounded to nearest 5",,5,7,,,,,,,http://www.plospathogens.org/article/info%3Adoi%2F10.1371%2Fjournal.ppat.1002512,,,,,,,,,,
Rabies (treated),1%,,1.6,bites,0,-,deaths due to vaccine complications,virus,unknown,,,"35,000","35,410","both treated and untreated, 2012",1,"15,000","14,814","2012, treated and untreated",,1.2,2,,,,,,,http://books.google.co.uk/books?id=TRyXTLXNA2YC&pg=PA662&lpg=PA662&dq=rabies+%22fatality+rate%22+vaccinated&source=bl&ots=sZQ1wRKW68&sig=Cd7arUDNIjuxRgSWLpLfaJHupPI&hl=en&sa=X&ei=zks-VPOGBoKS7AaQ0YCAAw&redir_esc=y#v=onepage&q=rabies%20%22fatality%20rate%22%20vaccinated&f=false,,,,,,,,,,
Rabies (untreated),100%,,1.6,bites,0,-,,virus,unknown,,,"35,000","35,410","both treated and untreated, 2012",1,"15,000","14,814","2012, treated and untreated",,1.2,2,,,,,,,http://en.wikipedia.org/wiki/List_of_human_disease_case_fatality_rates,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/rab-eng.php,http://www.plosbiology.org/article/info%3Adoi%2F10.1371%2Fjournal.pbio.1000053,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=20&ved=0CK0BEBYwEw&url=http%3A%2F%2Fwww.phac-aspc.gc.ca%2Flab-bio%2Fres%2Fpsds-ftss%2Frab-eng.php&ei=KSJEVI_mCqPg7QaIooDgBg&usg=AFQjCNGZx7rlokxJlDVWP2WN6zhrTBqjfw&sig2=k7X40YGQV2VTtm7e94Pq7w,,
Rhinovirus,0%,,6,airborne droplet,0.1,1,"nasal mucous, estimated R0",virus,0.4,1000,,-,-,-,-,-,-,-,,,,3,,,,,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/rhinovirus-eng.php,http://books.google.co.uk/books?id=5uMf4qCmghEC&pg=PA201&lpg=PA201&dq=rhinovirus+%22basic+reproductive+number%22+OR+%22basic+reproductive+rate%22&source=bl&ots=M5hiyWlzzL&sig=NG0Ydv1t-UJ3o1GGGeyLMkP5KHE&hl=en&sa=X&ei=hpo3VLWrJebB7Aa9xIHIBw&redir_esc=y#v=onepage&q=rhinovirus%20%22basic%20reproductive%20number%22%20OR%20%22basic%20reproductive%20rate%22&f=false,,,,,,,http://pathmicro.med.sc.edu/virol/rhino.htm,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/rhinovirus-eng.php,
Rotavirus,0%,,17.6,fecal-oral,7,60,mostly causes death in children & infants,virus,<100,,,"450,000","453,000",2008. children <5 http://www.cdc.gov/rotavirus/surveillance.html http://www.historyofvaccines.org/content/articles/rotavirus,-,"230,000","232,000",2008. http://www.path.org/publications/files/VAD_rotavirus_africa_fs.pdf,,,,,,,,,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/rotavirus-eng.php,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0042320#pone-0042320-t003,http://wwwnc.cdc.gov/eid/article/20/1/13-0019_article,,,,,,http://www.cdc.gov/vaccines/pubs/surv-manual/chpt13-rotavirus.html,,
Rubella,0%,,6,airborne droplet,,,,virus,Oct-60,,,-,-,-,1,-,-,-,,5,7,,,,,,,,,,,,,,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/rub-eng.php,,
Salmonella,1%,,0.8,food,0.6,90,"wet swine faeces, one strain can survive for 6 years on rubber & concrete!",bacterium,100,,,"115,000","115,000",http://wwwnc.cdc.gov/travel/yellowbook/2014/chapter-3-infectious-diseases-related-to-travel/salmonellosis-nontyphoidal,28,"4,100","4,100","2006 estimate. global estimate in this paper is 155,000. http://cid.oxfordjournals.org/content/50/6/882/F2.expansion.html",,,,,,,,,,http://jid.oxfordjournals.org/content/198/1/109.long,http://www.nhs.uk/chq/Pages/how-long-do-bacteria-and-viruses-live-outside-the-body.aspx,http://www.sciencedirect.com/science/article/pii/S002555641300148X,,,,,,http://www.cdc.gov/biosafety/publications/bmbl5/BMBL5_sect_VIII_a.pdf,,
SARS,9.60%,,2.4,airborne droplet,1,7,respiratory secretions,virus,20 - can't substantiate,,,0,0,"since 2004, no new cases anywhere in world. http://www.cdc.gov/sars/media/",0,0,0,http://www.cdc.gov/sars/media/,,1.2,3.6,,,,,,,http://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome,http://wwwnc.cdc.gov/eid/article/11/8/pdfs/04-0449.pdf,http://en.wikipedia.org/wiki/Basic_reproduction_number,,,,,,,,
Scarlet Fever,0.50%,,2.8,body fluids,,,,bacterium,unknown,,,-,-,-,3,-,-,-,,5,7,,,,,,,http://www.emedicinehealth.com/scarlet_fever/page10_em.htm,,,,,,,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/strep-pyogenes-eng.php,,
Seasonal Flu,0.10%,,2.5,airborne droplet,1,2,,virus,790,,,"375,000","375,000","range 250-500,000. http://www.who.int/mediacentre/factsheets/fs211/en/","26,000",-,-,unknown. http://jid.oxfordjournals.org/content/206/suppl_1/S1.full.pdf+html,,2,3,,,,,,,http://en.wikipedia.org/wiki/List_of_human_disease_case_fatality_rates,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/influenza-grippe-b-c-eng.php,http://en.wikipedia.org/wiki/Basic_reproduction_number,,,,,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/influenza-a-eng.php,,
Smallpox,15%,,6,airborne droplet,,,,virus,1,,,0,0,eradicated,0,0,0,eradicated,,5,7,,,,,,,,,,,,,,,http://www.absa.org/abj/abj/040903nicas.pdf,,
Swine Flu (H1N1),0.20%,,1.5,airborne droplet,0.4,2,,virus,500,,,"360,000 (during 2009 pandemic)","363,550","2009, during first year virus circulated. http://www.thelancet.com/journals/laninf/article/PIIS1473-3099(12)70121-4/fulltext","12,500 (during 2009 pandemic",-,-,-,,1.4,1.6,,,,,,,http://www.cidrap.umn.edu/news-perspective/2013/01/study-puts-global-2009-pandemic-h1n1-infection-rate-24,http://www.panama-guide.com/article.php/20090517152331424,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=6&ved=0CE4QFjAF&url=http%3A%2F%2Fwww.mdpi.com%2F1999-4915%2F2%2F8%2F1530%2Fpdf&ei=PvBEVKO5Hcau7Abyy4GADw&usg=AFQjCNGSB-f7wflPOcjC933IbtZwfvUtPA&sig2=rCX6dQtdVhSGXsBFXF-VIQ,,
Syphilis (untreated),33%,,0.9,sexual contact,11,-,our calcs,bacterium,57,,,"79,000","78,911","2012, treated and untreated",28,"46,000","45,505","2012, treated and untreated",,,,,,,,,,http://en.wikipedia.org/wiki/Syphilis,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2476079/?page=1,,,,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1360276/,,
Tuberculosis (untreated),60%,,10,airborne droplet,60,120,"wood, faeces",bacterium,<10,,,"930,000","934,879",2012,570,"220,000","217,582",2012,,1.4,10,,,10,,,,http://en.wikipedia.org/wiki/Tuberculosis,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/tuber-eng.php,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=13&ved=0CHkQFjAM&url=http%3A%2F%2Fwww.phac-aspc.gc.ca%2Flab-bio%2Fres%2Fpsds-ftss%2Ftuber-eng.php&ei=KSJEVI_mCqPg7QaIooDgBg&usg=AFQjCNFifPMWHqE30pqhPTge6aPlMeTVug&sig2=om5rubwGRsmTwETKmR05oA,,
Typhoid,20%,1-4% if treated http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3484760/,2.8,fecal-oral,,,,bacterium,"100,000",,,"200,000","200,000",http://www.cdc.gov/nczved/divisions/dfbmd/diseases/typhoid_fever/technical.html,0,-,-,-,,,,,,,,,,http://www.plosntds.org/article/info%3Adoi%2F10.1371%2Fjournal.pntd.0002642,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3484760/,http://www.mayoclinic.org/diseases-conditions/typhoid-fever/basics/causes/con-20028553,,,,,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/salmonella-ent-eng.php,,
Pneumonic Plague (untreated),100%,,3.2,airborne droplet,3,100,,bacterium,"10,000,000,000",,,-,-,-,0,-,-,-,,,,72,,,,,,https://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/ReportingCommunicableDisease/ReportingGuidelines/Documents/plague.pdf,http://www.researchgate.net/publication/6993284_Transmission_potential_of_primary_pneumonic_plague_time_inhomogeneous_evaluation_based_on_historical_documents_of_the_transmission_network,http://www.cfsph.iastate.edu/Factsheets/pdfs/plague.pdf,,,,,,http://microbewiki.kenyon.edu/index.php/Yersinia_pseudotuberculosis_infection,,
